longitude,latitude,Ve_est_myr,Vn_est_myr,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
122.25998923,5.73342823,0.02712017,0.00492767,38.62229442,-14.28515929,-21.27154763,24.33713513,33.94522651,50.99710657,46.11379408,-21.77665894,109.40145037,Moderate
122.31197515,5.73342823,0.02734527,0.00504332,40.0212062,-14.37682625,-20.99913217,25.64437994,34.36204353,51.86826758,47.1842335,-21.53985355,108.83505467,Moderate
122.36396108,5.73342823,0.02757844,0.00516533,41.44357701,-14.44739563,-20.72529748,26.99618137,34.79207038,52.77663524,48.29016107,-21.29397969,108.28092744,Moderate
122.41594701,5.73342823,0.02781983,0.00529366,42.88972746,-14.49886338,-20.4518759,28.39086408,35.23693826,53.72433542,49.4323703,-21.04150622,107.73969708,Moderate
122.46793294,5.73342823,0.02806956,0.00542826,44.36078588,-14.53335085,-20.18028912,29.82743503,35.69837398,54.71367059,50.61209149,-20.78465646,107.21156158,Moderate
122.51991886,5.73342823,0.02832779,0.00556904,45.85869797,-14.55300177,-19.91146729,31.3056962,36.17816878,55.74713535,51.83101688,-20.52532067,106.69628408,Moderate
122.57190479,5.73342823,0.02859467,0.00571594,47.38620484,-14.55988302,-19.64578033,32.82632183,36.67814247,56.82742272,53.09130339,-20.26498156,106.19320015,Moderate
122.62389072,5.73342823,0.02887039,0.00586889,48.94679205,-14.55589292,-19.38298055,34.39089913,37.20010329,57.95741834,54.39555285,-20.00465372,105.70123466,Moderate
122.67587665,5.73342823,0.02915515,0.0060278,50.5446123,-14.54267901,-19.12215445,36.0019333,37.74580325,59.14018031,55.7467699,-19.74483661,105.21892572,Moderate
122.72786257,5.73342823,0.02944916,0.00619261,52.18438459,-14.52156598,-18.86168079,37.66281861,38.31688874,60.37890259,57.14829804,-19.48547943,104.74445275,Moderate
122.7798485,5.73342823,0.02975269,0.00636326,53.8712713,-14.49349312,-18.5991914,39.37777817,38.91484517,61.67685997,58.60373425,-19.22595608,104.27566621,Moderate
122.83183443,5.73342823,0.03006603,0.0065397,55.61073352,-14.45895966,-18.33153094,41.15177386,39.54093451,63.0373322,60.11682144,-18.96504758,103.81011623,Moderate
122.88382035,5.73342823,0.03038948,0.00672189,57.4083629,-14.41797558,-18.05471195,42.99038732,40.19612355,64.46350439,61.69131721,-18.70092989,103.34507796,Moderate
122.93580628,5.73342823,0.03072339,0.0069098,59.2696861,-14.37001532,-17.76386149,44.89967077,40.88100025,65.95833974,63.33083564,-18.43116486,102.87757127,Moderate
122.98779221,5.73342823,0.03106815,0.00710343,61.1999354,-14.31397114,-17.45315588,46.88596427,41.5956749,67.52441902,65.03865703,-18.15269277,102.40437281,Moderate
123.03977814,5.73342823,0.03142417,0.00730277,63.20377608,-14.24810301,-17.11574021,48.95567306,42.33966174,69.1637396,66.81749827,-17.86182521,101.92201807,Moderate
123.09176406,5.73342823,0.03179188,0.00750784,65.28497736,-14.16998196,-16.74362932,51.11499539,43.11173579,70.877464,68.66923349,-17.5542381,101.42679099,Moderate
123.14374999,5.73342823,0.03217173,0.00771867,67.44600975,-14.0764232,-16.32758686,53.36958655,43.90975815,72.6656047,70.59455143,-17.22496488,100.91469803,Moderate
123.19573592,5.73342823,0.03256418,0.0079353,69.68754554,-13.96340577,-15.85697891,55.72413977,44.73046159,74.52662788,72.59253147,-16.8683917,100.38142257,Moderate
123.24772185,5.73342823,0.0329697,0.00815776,72.00783226,-13.82597477,-15.31959828,58.18185749,45.56918585,76.45695304,74.66011459,-16.4782571,99.82225427,Moderate
123.29970777,5.73342823,0.03338872,0.00838612,74.40189885,-13.65812194,-14.70145522,60.74377691,46.41954977,78.45031815,76.79143823,-16.04766132,99.23198562,Moderate
123.3516937,5.73342823,0.03382165,0.00862042,76.86054085,-13.45263965,-13.98652996,63.4079012,47.27304373,80.49697072,78.97699433,-15.56909313,98.60476455,High
