point_id,site,location,longitude,latitude,Ve_kriging_mm,Vn_kriging_mm,V_horiz_mm,interp_method,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
69,,,123.45136582,7.76029539,-3.16591495,4.7155479,5.67973674,Ordinary Kriging,122.2322776,-16.25861975,-135.26072235,105.97365785,151.95524069,227.58734241,204.94206962,-98.96841177,121.44512619,Very High
70,,,125.41587853,8.98972816,-37.41244803,21.54529601,43.17280449,Ordinary Kriging,147.94097906,-113.97967256,49.47558437,33.9613065,139.99442983,199.43311144,156.97508308,-123.01377658,79.65195236,High
71,,,122.96800427,8.18531113,-1.62070211,6.13493475,6.34539989,Ordinary Kriging,113.04559843,67.13015702,-105.7516432,180.17575545,108.21491107,199.12956933,198.3027888,-18.12703335,128.87583091,High
72,,,124.48844953,8.17478974,-15.72872636,7.7424784,17.5310811,Ordinary Kriging,42.99239447,-78.8731648,28.31686167,-35.88077033,67.19113252,98.35146881,49.25074735,-85.13151768,77.53731249,High
73,,,125.37839835,7.39670585,-26.31086005,4.71363537,26.72975337,Ordinary Kriging,-134.98500477,49.39574437,-5.03624678,-85.5892604,92.32783407,143.91531759,49.53320387,-135.12246427,178.43655504,High
74,,,123.16342352,7.09499283,8.05581771,4.01604853,9.00138016,Ordinary Kriging,332.86574623,-13.11927628,-228.92487159,319.74646995,286.93728546,464.52654832,446.81052043,-127.06405048,116.46130834,Very High
75,,,124.4896728,7.79447956,-16.21836282,4.90549803,16.94400199,Ordinary Kriging,90.15272084,-68.6754686,3.55882626,21.47725224,79.49379651,113.44233579,90.23242264,-68.75517039,88.71704518,High
76,,,125.14676358,8.21317315,-22.16240991,10.30022028,24.43904562,Ordinary Kriging,-127.29701816,-199.44683139,253.53621279,-326.74384955,256.08984768,429.58676862,92.7179229,-419.46177245,49.04904312,Very High
77,,,124.93913356,6.76293607,-14.85972101,4.31221837,15.47276756,Ordinary Kriging,-493.61764532,-24.08374392,-77.31145206,-500.0,247.16913594,500.0,-11.68155868,-500.0,170.88634624,Very High
78,,,125.30087465,7.42032859,-25.1406643,4.61704387,25.56110513,Ordinary Kriging,-134.98500477,49.39574437,-5.03624678,-85.5892604,92.32783407,143.91531759,49.53320387,-135.12246427,178.43655504,High
79,,,123.75457359,7.23039903,-2.26642739,3.72390403,4.35937546,Ordinary Kriging,-325.45136581,-2.18260219,1.82022102,-327.633968,161.64463056,325.46886436,-2.17235344,-325.46161456,0.32260022,Very High
80,,,124.09208705,6.76975566,5.13344576,5.45578262,7.49118344,Ordinary Kriging,-335.48959855,-49.60918782,-117.27628131,-385.09878637,184.89355984,377.52058827,-7.65583335,-377.44295302,160.31629841,Very High
81,,,122.55337031,7.28339595,8.30872227,3.17030096,8.89301264,Ordinary Kriging,24.39254571,24.24183535,-61.50968373,48.63438106,61.50972989,93.53900391,85.82692042,-37.19253936,134.96490364,High
82,,,125.43469605,9.3396548,-45.34506546,26.48210568,52.5116833,Ordinary Kriging,-94.54442929,124.29500747,-78.4657545,29.75057818,134.64601516,191.57673984,149.52130425,-119.77072607,162.17769521,High
83,,,122.88583338,7.61951776,3.27038742,4.16184199,5.29304852,Ordinary Kriging,346.00744241,-18.83392734,16.7793311,327.17351507,183.19075365,347.33119487,346.77751119,-19.60399611,87.37231762,Very High
84,,,123.11037527,7.71455968,0.74620296,4.52231276,4.58346284,Ordinary Kriging,240.75850958,2.08567019,-111.4714447,242.84417977,163.30053291,287.7859898,284.7226228,-41.87844303,111.52417628,Very High
85,,,124.71701366,7.00882858,-16.2117163,3.32190256,16.5485583,Ordinary Kriging,290.73820113,31.38365906,67.23531795,322.12186019,146.07115596,307.49766115,307.13208605,14.98977414,76.29703904,Very High
86,,,123.65638904,6.62900791,15.6649093,6.17533027,16.83817352,Ordinary Kriging,403.11952159,-17.91829422,-164.19451175,385.20122737,266.97949036,465.55997394,459.58010405,-74.37887668,108.97624934,Very High
